text_original,text_cleaned,sentiment,source
"rups (Rapat umum pemegang saham) tahunan bank bri, bank bni, bank mandiri Dan bank bca. Bank bri tanggal RUPS 1 maret 2024. Bank bni tanggal RUPS 4 maret 2024. Bank mandiri tanggal RUPS 7 maret 2024. Bank bca tanggal RUPS 14 2024. Kayanya semua membahas proyeksi dividen interim. [URL]",rups rapat umum pemegang saham tahunan bank bri bank bni bank mandiri dan bank bca bank bri tanggal rups 1 maret 2024 bank bni tanggal rups 4 maret 2024 bank mandiri tanggal rups 7 maret 2024 bank bca tanggal rups 14 2024 kayanya semua membahas proyeksi dividen interim,Neutral,Twitter (IDSMSA)
[USERNAME] guys kalian beli bbca pake app apa?,guys kalian beli bbca pake app apa,Neutral,Twitter (IDSMSA)
"[USERNAME] ( betul, dia kemaren abis beli saham BBCA 1000 lot )",betul dia kemaren abis beli saham bbca 100 lot,Neutral,Twitter (IDSMSA)
shm! akhirnya BBCA tembus 10k. Semoga tidak ada stock split lagi ya [URL],shm akhirnya bbca tembus 10k semoga tidak ada stock split lagi ya,Positive,Twitter (IDSMSA)
BMRI &gt cum date &gt 26 Mar (265) BBNI &gt cum date &gt 27 Mar (393) BBCA &gt cum date &gt 28 Mar (42) Simulasi bonus udah turun tabungan saham 80 jt BMRI 11500 x 265 = 3.047.500 BBNI 13500 x 393 = 5.305.500 BBCA 8000 x 42 = 336.000 Total = -+ 8.689.000,bmri gt cum date gt 26 mar 265 bbni gt cum date gt 27 mar 393 bbca gt cum date gt 28 mar 42 simulasi bonus sudah turun tabungan saham 80 jt bmri 11500 x 265 3 047 500 bbni 13500 x 393 5 305 500 bbca 800 x 42 336 00 total - 8 689 00,Neutral,Twitter (IDSMSA)
[USERNAME] [USERNAME] [USERNAME] [USERNAME] Apple ama Bca juga gaperna kalah bang berarti [URL],apple ama bca juga gaperna kalah bang berarti,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] BBCA bisa ambruk 90% dalam 1 malam bang?,bbca bisa ambruk 90 dalam 1 malam bang,Neutral,Twitter (IDSMSA)
"[USERNAME] Saham IDX dan Crypto sama2 market yg tidak efisien.. contoh: Market Cap BREN pernah melewati BBCA, BBRI..Itu emiten asset nya brapa? Valuasi 1000T.. Ada saham gorengan ada juga shitcoin . So gw maen kedua nya. Cuma beda tujuan.Di saham gw saham volalitas rendah, high dividen",saham idx dan crypto sama2 market yang tidak efisien contoh market cap bren pernah melewati bbca bbri itu emiten asset nya brapa valuasi 100t ada saham gorengan ada juga shitcoin so saya maen kedua nya cuma beda tujuan di saham saya saham volalitas rendah high dividen,Neutral,Twitter (IDSMSA)
[USERNAME] gak mau gua mau hp baru ip 13 beserta saham bca,tidak mau saya mau hp baru ip 13 beserta saham bca,Positive,Twitter (IDSMSA)
Trader siapa nih yang kita undang kali ini? 😌 yang bisa tebak bisa dapat Giveaway saldo RDN! 🥳 Referralkan Bluechip dapat saham [HASHTAG] 😱 kepoin 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],trader siapa ini yang kita undang kali ini yang bisa tebak bisa dapat giveaway saldo rdn referralkan bluechip dapat saham kepoin,Neutral,Twitter (IDSMSA)
"Harga Saham BCA Sempat Sentuh Rp10.000, Begini Jawaban Direksi Soal Rumor Stock Split [URL]",harga saham bca sempat sentuh rp10 00 begini jawaban direksi soal rumor stock split,Neutral,Twitter (IDSMSA)
"[USERNAME] [USERNAME] Goals tahun ini? Target punya 10 lot Saham BBCA Tapi apa daya gaji dibawah UMR, Di usahain mati²an dah Biar ada invest untuk masa Tua nanti",goals tahun ini target punya 10 lot saham bbca tapi apa daya gaji dibawah umr di usahain matian dah biar ada invest untuk masa tua nanti,Positive,Twitter (IDSMSA)
"Rumah di Citraland, villa di Ubud, uang 8M, emas batang 100kg, saham BCA minimal 100 slot, saham Sinarmas minimal 100 slot, umroh sebulan sekali.",rumah di citraland villa di ubud uang 8m emas batang 100kg saham bca minimal 100 slot saham sinarmas minimal 100 slot umroh sebulan sekali,Positive,Twitter (IDSMSA)
"Trading Selasa (27/02/2024)📈 🚀 BBNI, KLBF, BREN, TPIA, ARKO, dan AMRT IHSG Technical View👀 IHSG ditutup turun 0.15% kemarin, dan disertai dengan net sell asing ~913 Miliar. Saham yang paling banyak dijual asing adalah BBCA, BMRI, ADRO, TLKM, dan KLBF.",trading selasa 27 02 2024 bbni klbf bren tpia arko dan amrt ihsg technical view ihsg ditutup turun 0 15 kemarin dan disertai dengan net sell asing 913 miliar saham yang paling banyak dijual asing adalah bbca bmri adro tlkm dan klbf,Negative,Twitter (IDSMSA)
"Investor Asing Jualan Saham Hingga IHSG Turun, BBCA Paling Besar [URL]",investor asing jualan saham hingga ihsg turun bbca paling besar,Negative,Twitter (IDSMSA)
50% saham bca 50% saham paragon 50% saham lvmh dh itu aja,50 saham bca 50 saham paragon 50 saham lvmh dh itu saja,Neutral,Twitter (IDSMSA)
"Ya gimana mau nurunin saham mereka secara signifikan, kalo tiap dikasih promo gede langsung pada antri mengular? Mukdi tuh contohnya. Kemarin pas hut bca ngasih cashback gede. Langsung rame mukdinya. Padahal hari biasa sepi",ya gimana mau nurunin saham mereka secara signifikan kalau tiap dikasih promo gede langsung pada antri mengular mukdi tuh contohnya kemarin pas hut bca ngasih cashback gede langsung rame mukdinya padahal hari biasa sepi,Neutral,Twitter (IDSMSA)
"pengin beli saham BBCA, tapi kayanya harus win $500 dulu deh",pengin beli saham bbca tapi kayanya harus win 500 dulu deh,Positive,Twitter (IDSMSA)
"Happy birthday, pacarnya Bang Timo. Katanya mau giveaway saham BBCA hari ini ya?",happy birthday pacarnya bang timo katanya mau giveaway saham bbca hari ini ya,Positive,Twitter (IDSMSA)
"IHSG Melemah ke 7.283, Saham BYAN, BBCA &amp TLKM Menjangkari [URL]",ihsg melemah ke 7 283 saham byan bbca amp tlkm menjangkari,Negative,Twitter (IDSMSA)
"[USERNAME] Gue tahun ini pengen dikasih saham BBCA 1000lot aja, ga muluk2🌝",saya tahun ini pengen dikasih saham bbca 100lot saja ga muluk2,Positive,Twitter (IDSMSA)
"IHSG Dibuka Melemah Awal Pekan, Saham Bank Jumbo BMRI, BBCA, BBRI Berguguran [URL]",ihsg dibuka melemah awal pekan saham bank jumbo bmri bbca bbri berguguran,Negative,Twitter (IDSMSA)
"Sisa duit nganggur setelah bayar cicilan dsb ada sekian juta. Kapan harus nyerok saham perbankan? Saran web/sejenisnya dong biar bisa analisa sendiri? Saat ini sender cuma buat invest bukan trading, pegang $BBCA $BBNI $BBRI $BMRI Thankyou yang mau jawab, (cont)",sisa duit nganggur setelah bayar cicilan dsb ada sekian juta kapan harus nyerok saham perbankan saran web sejenisnya dong biar bisa analisa sendiri saat ini sender cuma buat invest bukan trading pegang bbca bbni bbri bmri thankyou yang mau jawab cont,Neutral,Twitter (IDSMSA)
"Trading Senin (26/02/2024)📈 🚀 BBRI, BMRI, TLKM, BBTN, FILM, dan BRIS IHSG Technical View👀 IHSG ditutup turun 0.61% Jumat lalu, dan disertai dengan net sell asing ~1.37 Triliun. Saham yang paling banyak dijual asing adalah BMRI, BBRI, TLKM, BBNI dan BBCA.",trading senin 26 02 2024 bbri bmri tlkm bbtn film dan bris ihsg technical view ihsg ditutup turun 0 61 jumat lalu dan disertai dengan net sell asing 1 37 triliun saham yang paling banyak dijual asing adalah bmri bbri tlkm bbni dan bbca,Negative,Twitter (IDSMSA)
"Akum terus nih asing, uhuy 🙌🏻 Apa sih yang ditunggu? Yuk ikutan referral Bluechip bisa dapat saham 🤩👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",akum terus ini asing uhuy apa sih yang ditunggu yuk ikutan referral bluechip bisa dapat saham,Positive,Twitter (IDSMSA)
Harga telor naiknya lebih cepat daripada harga saham BCA yaoloooo tolooooong 😭😭😭,harga telor naiknya lebih cepat daripada harga saham bca yaoloo toloong,Negative,Twitter (IDSMSA)
"bbri alami 2 kali stock splits: artinya harga riil saat neh, Rp 6125: jika tanpa stock splits berarti Rp 61.250,-: cukup mahal, lebe murah daripada saham BBCA n DSSA seh",bbri alami 2 kali stock splits artinya harga riil saat neh rp 6125 jika tanpa stock splits berarti rp 61 250 - cukup mahal lebe murah daripada saham bbca n dssa seh,Negative,Twitter (IDSMSA)
👀Top 3 Emiten Banks pilihan gw: 1. BBCA 2. BBNI 3. BBRI Kalian apa?,top 3 emiten banks pilihan saya 1 bbca 2 bbni 3 bbri kalian apa,Positive,Twitter (IDSMSA)
"Sekarang kalau mau beli saham BCA, harus punya uang satu juta anjir, valuasi nya emang ngeri",sekarang kalau mau beli saham bca harus punya uang satu juta anjir valuasi nya emang ngeri,Negative,Twitter (IDSMSA)
"shm! pertama kali ikut rups, ini cara daftarnya gimana ya? udh baca” masih blm paham, btw rups bca. thx",shm pertama kali ikut rups ini cara daftarnya gimana ya sudah baca masih belum paham omong-omong rups bca thx,Neutral,Twitter (IDSMSA)
"[USERNAME] Dikit amat, minta bca 10rb lot lah",dikit amat minta bca 10rb lot lah,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] [USERNAME] Bbca pake sistem nabung aja sih saham sepanjang masa soalnya 😂😂,bbca pake sistem nabung saja sih saham sepanjang masa soalnya,Positive,Twitter (IDSMSA)
Pengen jadi bca prioritas dan dapat undangan rups nya saham apa gitu ~,pengen jadi bca prioritas dan dapat undangan rups nya saham apa gitu,Positive,Twitter (IDSMSA)
[USERNAME] Beli saham BCA,beli saham bca,Positive,Twitter (IDSMSA)
"[USERNAME] Sini gua suapin, bang. Pakai saham BBCA mau?",sini saya suapin bang pakai saham bbca mau,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] dibilangin beli saham BCA aja,dibilangin beli saham bca saja,Positive,Twitter (IDSMSA)
[USERNAME] [USERNAME] [USERNAME] Maju mundur nih mau avg down atau nambah muatan bbca,maju mundur ini mau avg down atau nambah muatan bbca,Positive,Twitter (IDSMSA)
Akhirnya wishlist saham di awal tahun tercapai 🍾🛵💨 BBRI 5 lot BBCA 2 lot —-&gt segera 5 lot BMRI 5 lot 🙏🏻🙏🏻🙏🏻,akhirnya wishlist saham di awal tahun tercapai bbri 5 lot bbca 2 lot - gt segera 5 lot bmri 5 lot,Positive,Twitter (IDSMSA)
"Top News: Saham BCA Hampir Rp 10 Ribu, Nasib Hak Angket di PDIP [URL]",top news saham bca hampir rp 10 ribu nasib hak angket di pdip,Neutral,Twitter (IDSMSA)
[USERNAME] [USERNAME] 6 juta ya. Emang ada BBCA di bawah 600rb?,6 juta ya emang ada bbca di bawah 600rb,Neutral,Twitter (IDSMSA)
"[USERNAME] [USERNAME] Mungkin 6 juta ya maksudnya, bbca aja harga 1 lot udah lebih dari 600k",mungkin 6 juta ya maksudnya bbca saja harga 1 lot sudah lebih dari 600k,Neutral,Twitter (IDSMSA)
"Equity Research Analyst BCA Sekuritas Mutiara Nita berharap pemberian Penyertaan Modal Negara (PMN) dapat membantu PT Wijaya Karya Tbk (WIKA) untuk menyelesaikan berbagai proyek yang sedang dikerjakan, termasuk Proyek… [URL] [HASHTAG] [HASHTAG] [HASHTAG]",equity research analyst bca sekuritas mutiara nita berharap pemberian penyertaan modal negara pmn dapat membantu pt wijaya karya tbk wika untuk menyelesaikan berbagai proyek yang sedang dikerjakan termasuk proyek,Neutral,Twitter (IDSMSA)
"[USERNAME] 4 tahun BBCA, 4 Tahun BMRI.....dr awalnya dikit krena stock split smpe skrng jd puluhan. Dr yg cuman dpet deviden ratusan rbu udah nyentuh 1jtaan.",4 tahun bbca 4 tahun bmri dr awalnya dikit krena stock split smpe skrng jd puluhan dr yang cuman dpet deviden ratusan rbu sudah nyentuh 1jtaan,Positive,Twitter (IDSMSA)
[USERNAME] jajan saham bca di stockbit nder..,jajan saham bca di stockbit nder,Positive,Twitter (IDSMSA)
"Harga Saham Mendekati Rp 10.000, BCA Berencana Stock Split Lagi? [URL]",harga saham mendekati rp 10 00 bca berencana stock split lagi,Neutral,Twitter (IDSMSA)
"BBCA mnurut grafik tren harga saham berdasarkan sumber Yahoo Finance mengalami 2 kali aksi korporasi: stock splits: 2:1 (2008), n 5:1 (2021): artinya harga seharusnya (tanpa stock splits) 10 kali lipat harga per tgl 22 Februari 2024 (9875): 98750 perak aza: dssa: Rp120.250,-",bbca mnurut grafik tren harga saham berdasarkan sumber yahoo finance mengalami 2 kali aksi korporasi stock splits 2 1 2008 n 5 1 2021 artinya harga seharusnya tanpa stock splits 10 kali lipat harga per tgl 22 februari 2024 9875 98750 perak aza dssa rp120 250 -,Neutral,Twitter (IDSMSA)
Mending 4 lot saham bca atau 2 lot bca 2 lot bbri??,mending 4 lot saham bca atau 2 lot bca 2 lot bbri,Neutral,Twitter (IDSMSA)
pengen saham BBCA 25lot BBRI 25lot,pengen saham bbca 25lot bbri 25lot,Positive,Twitter (IDSMSA)
"Presdir BCA, Jahja Setiaatmadja, menegaskan belum ada pertimbangan bank untuk melakukan aksi korporasi stock split saham. Sebab, harga saham saat ini masih menarik bagi investor. [HASHTAG] [HASHTAG] [URL]",presdir bca jahja setiaatmadja menegaskan belum ada pertimbangan bank untuk melakukan aksi korporasi stock split saham sebab harga saham saat ini masih menarik bagi investor,Neutral,Twitter (IDSMSA)
"Presiden Direktur BCA, Jahja Setiaatmadja, mengibaratkan dividen yang akan dibagikan ke pemegang saham sebagai uang sangu jelang lebaran. [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",presiden direktur bca jahja setiaatmadja mengibaratkan dividen yang akan dibagikan ke pemegang saham sebagai uang sangu jelang lebaran,Positive,Twitter (IDSMSA)
[USERNAME] Mau saham BCA atau gudang garam 5 lot aja,mau saham bca atau gudang garam 5 lot saja,Positive,Twitter (IDSMSA)
For your info… chipmin kasih tahu aja siapa tahu ada yang belum tahu 🤭 Yuk promo referal Bluechip dapat saham masih ada loh… cek disini 👇🏻 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL],for your info chipmin kasih tahu saja siapa tahu ada yang belum tahu yuk promo referal bluechip dapat saham masih ada loh cek disini,Positive,Twitter (IDSMSA)
[USERNAME] Kasih saham BCA,kasih saham bca,Positive,Twitter (IDSMSA)
"Tebar Diskon HUT, Saham BCA Malah Ambruk - [URL] [URL]",tebar diskon hut saham bca malah ambruk -,Negative,Twitter (IDSMSA)
"sekarang kan menghadiri rups shm! bbca ga perlu pake ktur, terus cara konfirmasi kehadiran secara offlinenya gimana? atau langsung dateng ketempatnya aja sesuai jadwal?",sekarang kan menghadiri rups shm bbca ga perlu pake ktur terus cara konfirmasi kehadiran secara offlinenya gimana atau langsung dateng ketempatnya saja sesuai jadwal,Neutral,Twitter (IDSMSA)
"BTPN Bakal Rights Issue Rp6,73 T, BCA Ambil 26,68 Juta Saham [URL]",btpn bakal rights issue rp6 73 t bca ambil 26 68 juta saham,Neutral,Twitter (IDSMSA)
"akumulasi saham BBCA, BBRI, BNII, ARTO dalam portofolio warteg BY JO ot C: neh, per tgl 22 Februari 2024: kontrarian seh: [URL]",akumulasi saham bbca bbri bnii arto dalam portofolio warteg by jo ot c neh per tgl 22 februari 2024 kontrarian seh,Neutral,Twitter (IDSMSA)
Saham BBCA 10 lot aja..,saham bbca 10 lot saja,Positive,Twitter (IDSMSA)
"[USERNAME] saham BBCA 1000 lot aja,",saham bbca 100 lot saja,Positive,Twitter (IDSMSA)
"Bank BTPN siap menggelar rights issue Rp 6,7 triliun, di mana BCA akan ikut ambil bagian untuk mempertahankan minimal 1% kepemilikan [URL] [HASHTAG] [HASHTAG] [HASHTAG]",bank btpn siap menggelar rights issue rp 6 7 triliun di mana bca akan ikut ambil bagian untuk mempertahankan minimal 1 kepemilikan,Neutral,Twitter (IDSMSA)
"IHSG Diprediksi Rebound, Saham BBCA hingga MDKA Direkomendasikan [URL]",ihsg diprediksi rebound saham bbca hingga mdka direkomendasikan,Positive,Twitter (IDSMSA)
"8. Iya gue pernah lulus Kedokteran UI jalur SIMAK, tapi pas tes nya gue tidur 40 menit. Bukan karena pinter, tapi karena soalnya terlalu susah jadi mostly asal jawab😬. Dan hoki: lulus! 9. Seumur hidup ga pernah beli saham 4 big banks (BBCA/BBRI/BBNI/BMRI)",8 iya saya pernah lulus kedokteran ui jalur simak tapi pas tes nya saya tidur 40 menit bukan karena pinter tapi karena soalnya terlalu susah jadi mostly asal jawab dan hoki lulus 9 seumur hidup ga pernah beli saham 4 big banks bbca bbri bbni bmri,Neutral,Twitter (IDSMSA)
Saham BCA 1% aja gausah banyak banyak,saham bca 1 saja gausah banyak banyak,Positive,Twitter (IDSMSA)
"Klo setiap sore mati listrik terus jaga lilin kek gini cepet kaya nih, kira kira mau beli saham bca atau saham pln ye",kalau setiap sore mati listrik terus jaga lilin seperti gini cepet kaya ini kira kira mau beli saham bca atau saham pln ye,Neutral,Twitter (IDSMSA)
"BBCA king of IHSG 👑🤟 Ikutan kuy pindah saham ke Bluechip gratis, tis, tis!! 👇 [URL] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [HASHTAG] [URL]",bbca king of ihsg ikutan kuy pindah saham ke bluechip gratis tis tis,Positive,Twitter (IDSMSA)
"IHSG Turun Tipis usai BI Rate Tetap 6%, Saham BBCA-GOTO Lesu [URL]",ihsg turun tipis usai bi rate tetap 6 saham bbca-goto lesu,Negative,Twitter (IDSMSA)
"[USERNAME] [USERNAME] hbd bca, bagi 2 lot saham dong",hbd bca bagi 2 lot saham dong,Positive,Twitter (IDSMSA)
"[USERNAME] [USERNAME] [USERNAME] Belajar skill dulu boss, anak owner BCA itu jadi direktur. Baca: JADI DIREKTUR Apa masyarakat komplain? Ga tuh, nyatanya saham bca masih naik kan dan layanan bca masih diterima sebagian besar masyarakat",belajar skill dulu boss anak owner bca itu jadi direktur baca jadi direktur apa masyarakat komplain ga tuh nyatanya saham bca masih naik kan dan layanan bca masih diterima sebagian besar masyarakat,Positive,Twitter (IDSMSA)
"[USERNAME] [USERNAME] Ini sirik namanya bos, hidup itu memang ga fair. Privilege kalau dipakai buat hal benar kenapa tidak? Anak Owner BCA ga semuanya jadi Dirut, tp ada yg diangkat jadi Dirut, dan selama dia bisa kerja, masyarakat juga okay aja. Nyatanya harga saham BCA tetep naik terus",ini sirik namanya bos hidup itu memang ga fair privilege kalau dipakai buat hal benar kenapa tidak anak owner bca ga semuanya jadi dirut tp ada yang diangkat jadi dirut dan selama dia bisa kerja masyarakat juga okay saja nyatanya harga saham bca tetep naik terus,Positive,Twitter (IDSMSA)
Kinerja saham bank-bank besar seperti Himbara dan PT Bank Central Asia Tbk (BBCA) kian berkibar. [URL] [HASHTAG] [HASHTAG] [HASHTAG],kinerja saham bank-bank besar seperti himbara dan pt bank central asia tbk bbca kian berkibar,Positive,Twitter (IDSMSA)
"IHSG Dibuka Melemah Jauhi Level ATH, Saham BBCA, GOTO hingga AMMN Tergelincir [URL]",ihsg dibuka melemah jauhi level ath saham bbca goto hingga ammn tergelincir,Negative,Twitter (IDSMSA)
"Trading Idea Rabu (21/2/2024)📈 🚀 MEDC, MAPI, ADRO, BREN, ICBP, dan ARTO IHSG Technical View👀 IHSG ditutup naik 0.77% kemarin, dan disertai dengan net buy asing ~1.29 Triliun. Saham yang paling banyak dibeli asing adalah BBRI, TLKM, BBCA, BBNI, dan GOTO.",trading idea rabu 21 2 2024 medc mapi adro bren icbp dan arto ihsg technical view ihsg ditutup naik 0 77 kemarin dan disertai dengan net buy asing 1 29 triliun saham yang paling banyak dibeli asing adalah bbri tlkm bbca bbni dan goto,Positive,Twitter (IDSMSA)
"[USERNAME] [USERNAME] [USERNAME] bukannya sama aja ya, 5juta naik 2% di BCA atau BNGA kan juga sama-sama dapet 5juta 100 ribu bang?",bukannya sama saja ya 5juta naik 2 di bca atau bnga kan juga sama-sama dapet 5juta 100 ribu bang,Neutral,Twitter (IDSMSA)
Saham BCA (BBCA) tembus Rp 10.025 pada perdagangan 20 Februari 2024 kemarin [URL] [HASHTAG] [HASHTAG] [HASHTAG],saham bca bbca tembus rp 10 025 pada perdagangan 20 februari 2024 kemarin,Positive,Twitter (IDSMSA)
"A Tinggal beli saham bsi, bca, bri, emas 90kg, sisanya di puter di trading Bulan depan dah bisa generate $300.000",a tinggal beli saham bsi bca bri emas 90kg sisanya di puter di trading bulan depan dah bisa generate 300 00,Positive,Twitter (IDSMSA)
gw gangerti main saham tp bbca skrg 10rb anjrit nyesel cm beli dikit,saya gangerti main saham tp bbca sekarang 10rb anjrit nyesel cm beli dikit,Positive,Twitter (IDSMSA)
Menurut gue harga saham BBCA gila 😭😭😭😭,menurut saya harga saham bbca gila,Negative,Twitter (IDSMSA)
[USERNAME] saham bca mnurun kah😞,saham bca mnurun kah,Negative,Twitter (IDSMSA)
Fantastis! Biaya Sekolah SMA Binus Serpong Setara 10100 Lembar Saham BBCA [URL],fantastis biaya sekolah sma binus serpong setara 10100 lembar saham bbca,Neutral,Twitter (IDSMSA)
"[USERNAME] Perbankan ajj nder. Bbri, bbca, bmri, bbni, buat mengurangi culture shock volatilitas nya",perbankan ajj nder bbri bbca bmri bbni buat mengurangi culture shock volatilitas nya,Positive,Twitter (IDSMSA)
Pengen juga nanti di umur segitu kalau gabut mau beli seluruh saham BCA dehh,pengen juga nanti di umur segitu kalau gabut mau beli seluruh saham bca dehh,Positive,Twitter (IDSMSA)
BBCA. Contoh bisnis bagus. EPS nya naik dari waktu ke waktu. Dalam 4 tahun eps nya tumbuh hampir 100 persen! 2020 220 2021 255 2022 330 2023 395,bbca contoh bisnis bagus eps nya naik dari waktu ke waktu dalam 4 tahun eps nya tumbuh hampir 100 persen 2020 220 2021 255 2022 330 2023 395,Positive,Twitter (IDSMSA)
Tergoda saham bbca/bbri. Gpp kali yaaa beli 1 atau 2 lot aja🙈,tergoda saham bbca bbri gpp kali yaa beli 1 atau 2 lot saja,Positive,Twitter (IDSMSA)
"ini dia tujuan hidup lainnya, punya 1000 lot saham BBCA~",ini dia tujuan hidup lainnya punya 100 lot saham bbca,Positive,Twitter (IDSMSA)
